Americas,19,36373,46200,41826.0,3465.177319725912,
Americas,11,76,693,387.0,211.20606051910536,
Asia,10,429,1373,826.0,322.06010973995876,
Europe,15,26707,37976,31318.0,3571.2663220288046,
Africa,5,0,0,0.0,0.0,
Asia,22,19970,24916,22875.0,1731.3372866082448,
Americas,15,30336,39893,35305.0,3433.5423399166057,
Europe,16,23570,52432,33335.0,9815.864338624782,
Americas,4,0,1,0.0,0.7071067811865476,
Africa,15,529,651,579.0,45.46584275192595,
Europe,7,0,5,1.0,1.6903085094570331,
Europe,12,8103,20863,14521.0,4683.125055528017,
Europe,21,15329,19719,17638.0,1276.8823080344675,
Asia,7,2,22,9.0,5.8186891012618,
Africa,20,2571,3187,2848.0,206.83948227688887,
Americas,18,30639,47693,39323.0,5259.111494757048,
Asia,18,11358,13384,12171.0,749.3239810465354,
Americas,6,0,3,0.0,1.1338934190276817,
Americas,12,887,7170,3696.0,2586.3028769710195,
Europe,11,2490,11137,5140.0,3010.118246372201,
Asia,15,8988,11672,10109.0,947.3367179323607,
Europe,9,78,369,192.0,104.44410672015646,
Europe,17,24157,35231,27402.0,3438.8894386747256,
Africa,13,216,478,355.0,95.79516838397585,
Europe,18,21373,24545,23210.0,896.7368621842196,
Asia,9,36,250,118.0,70.97585102393228,
Americas,5,0,3,0.0,1.4142135623730951,
Africa,18,1273,2054,1672.0,254.60641895173927,
Europe,13,18448,35750,28586.0,6195.9132729335615,
Africa,9,0,1,0.0,0.5345224838248488,
Asia,5,2,10,6.0,2.4784787961282104,
Africa,22,3275,4901,4011.0,551.7321814068852,
Asia,14,6626,8867,7956.0,807.5870585533532,
Africa,11,8,68,26.0,20.476467329246866,
Americas,9,0,36,8.0,11.970201096293842,
Asia,19,12865,16696,14936.0,1298.8987643384685,
Africa,10,0,18,5.0,5.794085654478071,
Africa,19,1564,3485,2400.0,575.2695020596868,
Americas,16,30139,38735,34593.0,3314.7642019132695,
Americas,22,45427,65310,54014.0,6694.814919025021,
Asia,20,16006,20423,18062.0,1214.088429351715,
Americas,13,9057,21517,15014.0,4642.605026121803,
Africa,8,0,0,0.0,0.0,
Americas,17,31156,55267,38417.0,8028.22616949544,
Europe,8,0,42,8.0,14.914039406833128,
Asia,21,20137,24970,22501.0,1621.4849895785565,
Europe,20,18604,24071,21124.0,1584.2804585768806,
Europe,5,0,8,2.0,2.878491668515698,
Africa,7,0,1,0.0,0.3779644730092272,
Asia,13,2525,6897,4598.0,1648.9559467389402,
Asia,4,1,4,2.0,1.118033988749895,
Africa,16,724,1260,947.0,217.56181387629323,
Americas,14,20584,36016,29053.0,5448.155926549826,
Europe,4,0,2,0.0,1.118033988749895,
Asia,8,9,31,18.0,7.445036697597362,
Asia,12,1460,2360,1881.0,266.4507459175147,
Asia,11,666,1719,1228.0,365.6174816076809,
Asia,6,0,10,5.0,3.4641016151377544,
Americas,8,0,2,0.0,0.7559289460184544,
Europe,6,0,5,1.0,1.8516401995451028,
Africa,21,2840,4556,3571.0,504.8825888970906,
Asia,17,11869,14132,12854.0,722.1071349084665,
Asia,16,10869,12554,11695.0,547.5779135689928,
Americas,21,36643,58344,51197.0,7266.080826100723,
Europe,19,21552,28600,24309.0,2447.7051934997635,
Europe,22,14527,20305,16762.0,2162.601488947975,
Europe,14,28820,36406,33339.0,2614.2380206422345,
Americas,10,14,142,53.0,41.54515615568198,
Africa,6,0,0,0.0,0.0,
Africa,4,0,0,0.0,0.0,
Europe,10,515,2123,1148.0,565.107954288382,
Africa,14,356,771,511.0,125.78837102735008,
Americas,20,31093,53907,43315.0,8146.411550054241,
Africa,17,1018,1580,1228.0,187.41398026828202,
Americas,7,0,1,0.0,0.5345224838248488,
Africa,12,57,157,105.0,37.82100701235454,
